mineral_name,group_yaml,mineral_class,end_member_key,formula,basis,source_url,retrieved_date,notes,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,CoO,ZnO,Sc2O3,B2O3,Li2O,Y2O3,ZrO2,HfO2,Nb2O5,V2O3,BaO,SrO,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,ThO2,UO2,PbO,F,Cl,H2O,CO2,OH,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Co,Zn,Sc,B,Li,Y,Zr,Hf,Nb,V,Ba,Sr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U,Pb,S,Cu,As,Sb,Cd,O,H
Allanite,allanite,Epidote group,allanite,"CaCe(Fe2+,Fe3+)(Al,Fe3+)2(SiO4)(Si2O7)O(OH)",oxide_wt_percent,https://webmineral.com/data/Allanite-(Ce).shtml,2026-08-20,"Base 'Allanite' URL redirects to the site's alphabetical listing (no dedicated page); used the Allanite-(Ce) variety page, consistent with the Ce-dominant formula requested. Page's simplified formula (Ce,Ca,Y)2(Al,Fe+++)3(SiO4)3(OH) lacks an explicit Fe2+ site. Page's own oxide total is 102.21% (not adjusted). H2O 1.47% excluded; Y2O3 included as reported. [elemental pass: Ce reported as combined REE proxy element on this page (webmineral labels it 'Cerium', formula uses Ce1.2 as proxy for REE site); Y 4.34% also reported; H2O 1.47% from formula (OH) group]",29.32,,18.66,,9.74,,,,5.47,,,,,,,,,,5.51,,,,,,,,32.04,,,,,,,,,,,,,,,,,,1.47,,,13.71,,9.88,,6.81,,,3.91,,,,,,,,,,4.34,,,,,,,,27.35,,,,,,,,,,,,,,,,,,,,,33.84,0.16
Andalusite,aluminosilicate,Other silicate,andalusite,Al2SiO5,oxide_wt_percent,https://webmineral.com/data/Andalusite.shtml,2026-08-20,"Al2SiO5 polymorph (kyanite/sillimanite/andalusite are compositionally identical, differing only in Al coordination/crystal structure) -- cosine-distance classification on composition alone CANNOT distinguish these three; structural/textural context (or an XRD/EBSD cross-check) is needed to tell them apart. New placeholder group_yaml, no backing resources/minerals/*.yaml config yet.",37.08,,62.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.33,,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37,
Kyanite,aluminosilicate,Other silicate,kyanite,Al2SiO5,oxide_wt_percent,https://webmineral.com/data/Kyanite.shtml,2026-08-20,"Al2SiO5 polymorph (kyanite/sillimanite/andalusite are compositionally identical, differing only in Al coordination/crystal structure) -- cosine-distance classification on composition alone CANNOT distinguish these three; structural/textural context (or an XRD/EBSD cross-check) is needed to tell them apart. New placeholder group_yaml, no backing resources/minerals/*.yaml config yet.",37.08,,62.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.33,,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37,
Sillimanite,aluminosilicate,Other silicate,sillimanite,Al2SiO5,oxide_wt_percent,https://webmineral.com/data/Sillimanite.shtml,2026-08-20,"Al2SiO5 polymorph (kyanite/sillimanite/andalusite are compositionally identical, differing only in Al coordination/crystal structure) -- cosine-distance classification on composition alone CANNOT distinguish these three; structural/textural context (or an XRD/EBSD cross-check) is needed to tell them apart. New placeholder group_yaml, no backing resources/minerals/*.yaml config yet.",37.08,,62.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.33,,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37,
Ferro-actinolite,amphibole,Amphibole,fe_endmember,Ca2Fe5Si8O22(OH)2,oxide_wt_percent,https://webmineral.com/data/Ferro-actinolite.shtml,2026-08-20,"Pure end-member composition; iron reported as FeO. Page also lists H2O 1.86 wt% (structural OH), not included as no matching column exists in this schema. [elemental pass: H2O wt% given alongside elemental H in the same composition table row (""0.21% H  1.86% H2O""); OH not given as a separate wt% figure]",49.55,,,,,37.03,,,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,23.16,,,,28.78,,,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,0.21
Tremolite,amphibole,Amphibole,mg_endmember,Ca2Mg5Si8O22(OH)2,oxide_wt_percent,https://webmineral.com/data/Tremolite.shtml,2026-08-20,"Pure end-member composition. Page also lists H2O 2.22 wt% (structural OH), not included as no matching column exists in this schema. [elemental pass: H2O wt% given alongside elemental H in the same composition table row (""0.25% H  2.22% H2O""); OH not given as a separate wt% figure]",59.17,,,,,,,24.81,13.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,27.66,,,,,,14.96,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.27,0.25
Tschermakite,amphibole,Amphibole,tschermak_endmember,Ca2Mg3Al4Si6O22(OH)2,oxide_wt_percent,https://webmineral.com/data/Tschermakite.shtml,2026-08-20,"IMPORTANT CAVEAT: webmineral's page uses empirical formula Ca2Mg3Al3Fe3+Si6O22(OH)2 (one Al site replaced by Fe3+), not the pure Al-only end-member Ca2Mg3Al4Si6O22(OH)2 requested. Reported Al2O3 (18.11%) is therefore lower than the true pure end-member would be, and Fe2O3 (9.46%) is present in the source data but not part of the ideal formula. Values used as reported; no pure Al-only tschermakite table was found on webmineral.com. Page also lists H2O 2.13 wt%, not included (no matching column). [elemental pass: H2O wt% given alongside elemental H in the same composition table row (""0.24% H  2.13% H2O""); Fe reported as Fe2O3-derived elemental Fe (ferric); OH not given as a separate wt% figure]",42.69,,18.11,,9.46,,,14.32,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,19.96,,9.59,,6.61,,8.64,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.48,0.24
Fluorapatite,apatite,Phosphate,apatite,Ca5(PO4)3F,oxide_wt_percent,https://webmineral.com/data/Apatite.shtml,2026-08-20,"webmineral.com's page is titled 'Apatite' (URL /data/Apatite.shtml, not a dedicated Fluorapatite page) and lists formula Ca5(PO4)3(OH,F,Cl) -- a generic/mixed-halogen apatite reference sample, not a pure F end member. H2O 0.59% also reported but not mapped to an oxide column here. [elemental pass: webmineral page is generic 'Apatite' (formula Ca5(PO4)3(OH,F,Cl)); OH wt% not directly given on page, only oxide-equivalent H2O=0.59% and elemental H=0.07%; oxide table also lists correction terms -O=Cl2=-0.52% and -O=F2=-0.52% (not recorded). Element table total 100.00%.]",,,,,,,,,55.07,,,41.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,2.32,0.59,,,,,,,,,,39.36,,,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.76,0.07
Calcite,carbonate,Carbonate,calcite,CaCO3,oxide_wt_percent,https://webmineral.com/data/Calcite.shtml,2026-08-20,"Remainder of composition is CO2 (43.97%), not part of this oxide column set; CaO given here. [elemental pass: Element table also reports elemental C=12.00% (no C column in this schema; recorded CO2 from oxide table instead). Element total 100.00%; oxide total 100.00%.]",,,,,,,,,56.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.97,,,,,,,,,40.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.96,
Magnesite,carbonate,Carbonate,magnesite,MgCO3,oxide_wt_percent,https://webmineral.com/data/Magnesite.shtml,2026-08-20,"Remainder of composition is CO2 (52.20%), not part of this oxide column set. [elemental pass: Element table also reports elemental C=14.25% (no C column in this schema; recorded CO2 from oxide table instead). Element total 100.00%; oxide total 100.00%.]",,,,,,,,47.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20,,,,,,,,28.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.93,
